,id_fifa,nom_jugad,num_pos,equipo,liga,edad,apariciones_totales,min_jugados,tirosXp,pasesXp,regatesXp,faltadoXp,fuerajuegoXp,robadoXp,malcontroXp,goles_esperados,xGDiff,xG/90,total_disparos,xG/Shots,rating,goles
326,239096,Atakan Karazor,5,Stuttgart,Ger,28,10,705,0.2,0.7,0.7,2.0,0.0,0.5,0.6,0.11,-0.11,0.01,2,0.06,6.51,0
327,0,Augustine Boakye,10,Saint-Etienne,Fra,24,7,271,1.0,0.6,1.3,0.4,0.0,1.1,0.6,0.29,-0.29,0.1,7,0.04,6.37,0
328,0,Augusto Dabó,2,Boavista,Por,20,5,94,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.06,-0.06,0.06,1,0.06,6.16,0
329,0,Augusto Solari,5,Celta Vigo,Esp,32,26,700,0.3,0.2,0.3,0.4,0.0,0.5,0.7,0.27,-0.27,0.03,7,0.04,6.14,0
330,0,Aurèle Amenda,2,Eintracht Frankfurt,Ger,21,4,69,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.24,0
331,0,Aurélio Buta,5,Reims,Fra,27,8,615,0.5,0.5,0.4,1.1,0.1,0.4,1.1,0.11,-0.11,0.02,4,0.03,6.59,0
332,241858,Axel Camblan,5,Brest,Fra,21,2,24,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.08,-0.08,0.32,1,0.08,6.07,0
333,0,Axel Disasi,2,Chelsea,Ing,26,2,95,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,6.38,0
334,0,Axel Gueguin,10,Montpellier,Fra,19,1,22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,6.11,0
335,231485,Axel Tuanzebe,2,Ipswich,Ing,26,7,605,0.4,0.4,0.3,0.4,0.0,0.0,0.6,0.5,-0.5,0.07,3,0.17,6.57,0
336,194794,Ayase Ueda,10,Feyenoord,Ned,26,9,406,1.3,0.8,0.2,1.1,0.1,1.4,2.3,1.71,1.29,0.38,12,0.14,6.57,3
337,0,Ayman Aiki,10,Saint-Etienne,Fra,19,3,86,0.7,0.0,0.0,0.3,0.0,2.0,1.3,0.12,-0.12,0.12,2,0.06,5.95,0
338,258550,Ayman Azhil,2,Borussia Dortmund,Ger,23,1,23,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,5.92,0
339,236624,Aymen Barkok,5,Mainz,Ger,26,4,71,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.18,0
340,152908,Ayoub Oufkir,10,Sparta Rotterdam,Ned,18,4,21,0.0,0.5,0.3,0.3,0.0,0.5,0.3,0.0,0.0,0.0,0,0.0,6.39,0
341,0,Ayyoub Bouaddi,2,Lille,Fra,17,9,308,0.0,0.2,0.2,0.2,0.0,0.2,0.9,0.0,0.0,0.0,0,0.0,6.39,0
