,goles
2354,0
2449,1
2215,1
1007,0
2397,0
809,2
111,0
2136,0
929,2
976,0
1637,0
572,0
1346,0
2384,2
689,0
1355,0
201,0
3249,1
2553,0
998,1
1704,1
2874,0
1762,1
2797,0
1367,0
2394,2
657,0
1665,0
167,0
2703,0
2607,0
789,0
2578,0
2082,0
3181,0
23,0
2066,0
174,0
924,1
968,0
3199,0
1315,0
2629,4
478,4
3409,0
812,0
989,1
3449,0
2438,0
332,0
591,1
2316,0
3248,0
327,0
308,4
752,0
329,0
2705,10
807,0
3476,0
1525,0
2618,1
1557,0
974,4
97,2
3315,1
1577,0
2914,5
1038,8
13,0
936,1
870,0
3012,0
556,4
2817,0
443,1
1686,0
1432,4
2636,0
1617,0
3413,0
1664,0
1751,0
413,0
1941,1
2546,0
2181,0
1645,0
2420,0
2266,0
1967,0
1491,7
595,0
239,0
2579,0
1174,0
3034,0
8,0
3087,0
337,0
1423,0
461,8
1652,0
117,0
1707,1
158,0
136,4
2966,0
3330,0
1274,1
2289,1
3036,1
1690,27
127,1
2533,0
1555,3
2486,3
3258,0
3421,0
2738,2
2227,5
725,0
2895,0
2017,6
1864,0
635,0
1727,1
951,0
3270,5
1689,2
2265,1
230,1
837,3
2494,0
3362,0
862,0
2900,1
1781,2
1875,2
3461,4
3107,0
1859,0
3163,1
1438,0
294,0
75,0
2219,0
1165,11
428,10
627,0
1876,0
2336,0
2342,2
542,1
2356,0
2592,5
3459,3
3193,0
1807,1
1345,1
1984,0
2162,0
221,0
791,0
1872,0
569,7
2245,1
961,0
405,0
2139,0
3130,0
3175,0
417,0
214,0
1125,2
634,0
562,0
2344,0
2365,0
463,3
1161,0
223,0
533,8
2532,0
3379,6
854,0
2933,0
1271,0
1270,0
2187,1
1663,0
2601,0
1511,0
1589,0
94,2
2979,0
2595,0
20,1
1736,0
1879,0
1921,0
1503,2
2313,0
3471,1
3184,0
2312,0
1041,0
3247,0
946,2
1176,0
172,2
2658,0
949,0
3483,0
2889,0
1639,2
2898,0
1843,1
2960,1
2249,0
2849,4
1560,2
1632,0
3092,0
492,1
2285,0
89,0
3381,0
1134,0
972,0
1926,1
2583,0
3145,1
411,1
1015,0
2124,0
2912,0
773,0
2561,0
743,1
2996,8
1388,0
326,0
225,0
1830,0
2590,1
3455,7
2300,3
948,0
2023,0
983,0
2277,0
3090,0
207,1
2537,1
2644,0
1351,0
524,0
981,1
3035,0
298,2
1059,1
1789,0
1330,0
2440,1
614,0
1542,0
1064,2
1729,0
1865,0
629,0
3412,1
3166,0
3474,0
1447,0
1079,0
727,0
2102,0
918,0
481,0
2410,0
2072,0
1993,0
2635,1
3123,2
3085,1
2377,1
3116,3
2909,0
1332,0
315,0
1674,0
632,0
1376,1
1792,0
2248,0
2696,0
2535,0
3189,0
2628,0
1520,2
459,0
577,1
1132,2
2640,1
2925,0
1758,0
148,0
6,0
3106,1
455,0
3102,0
2362,0
1944,0
1466,2
599,0
2366,0
3360,0
3157,0
1871,0
613,1
379,1
102,0
2907,0
3366,0
1255,0
2286,3
1380,0
2114,0
1805,2
2813,0
1718,0
2911,0
755,0
2927,0
375,0
1923,0
2735,3
2843,2
2524,0
1222,1
2228,0
1787,0
3298,1
3281,0
1434,0
2910,0
487,0
979,0
2464,0
1284,1
1368,0
3139,0
40,0
1042,0
3226,0
1054,1
1334,0
2674,2
1521,0
1379,0
2652,0
42,3
1606,3
2214,1
185,0
1453,0
795,0
1912,1
3149,0
1802,0
1691,0
2795,0
687,0
3091,0
2298,1
1770,0
1385,0
2723,3
1478,2
623,2
352,2
2037,0
955,2
1228,0
839,0
175,0
1903,3
2056,0
2709,3
65,0
912,0
2471,0
3359,1
1986,2
1723,0
1118,1
2916,2
1671,1
2588,1
1999,2
1148,0
57,0
3208,0
278,6
547,0
810,0
2341,2
234,0
886,1
1873,0
3482,3
2653,3
1487,0
2923,3
1352,0
2884,1
2123,0
1725,1
2373,2
1734,0
2510,0
829,1
3263,0
3213,0
3134,2
3133,0
1163,0
2815,3
1888,0
1420,0
3207,0
2207,0
2126,2
2041,0
1501,0
2088,1
2475,0
2127,3
1248,2
1031,0
3369,0
2177,0
432,0
628,0
1016,2
762,0
465,0
1818,1
313,0
161,0
344,1
3025,0
2447,0
1250,0
1559,0
2,0
1845,0
619,0
3219,1
366,1
3367,0
1962,0
991,0
286,0
404,0
2734,0
1908,0
1573,0
292,0
754,0
3453,0
264,1
3274,0
517,2
2951,0
2135,8
875,0
2083,3
2637,0
2963,0
3241,0
3426,5
1249,0
2529,0
270,0
447,3
588,1
1278,0
796,0
331,0
2098,0
956,0
1216,4
1556,0
3374,1
15,0
2320,0
779,0
1526,0
3073,0
1052,0
2439,0
1666,0
2956,0
1677,1
2830,1
391,1
1053,1
198,0
1056,2
2346,8
1279,4
2196,1
2081,0
1203,0
203,0
672,0
1989,0
1260,0
1267,0
2780,3
2563,0
664,1
1640,0
1576,1
435,0
1065,0
1002,0
399,0
2374,0
2518,1
638,0
2294,0
784,3
888,4
2080,0
744,0
3048,1
152,0
2865,0
681,1
358,0
1948,0
421,5
2694,4
1188,4
2157,0
1966,1
3162,3
768,4
1114,1
2280,0
2936,0
3031,2
1688,1
3211,2
1721,1
3312,0
2946,0
1191,0
500,11
1687,5
1308,4
2424,0
3445,0
2737,1
1635,1
2197,2
1183,0
713,5
3135,0
365,0
232,0
1745,5
1436,0
2940,0
2749,0
3265,2
1998,0
1719,0
2554,0
2246,0
2948,1
878,0
1145,0
2352,0
295,4
3195,0
928,2
113,2
1625,0
2993,0
187,0
119,3
2437,0
1648,0
3485,0
1975,0
2565,0
3415,4
2190,0
2364,1
3114,1
2626,0
2729,0
3009,2
2185,0
316,0
770,2
76,0
1651,1
2649,0
2992,1
3351,0
522,0
2587,1
1657,0
2983,0
2036,0
1641,0
3434,0
1896,1
1613,0
1256,0
2868,1
3430,0
3030,0
2399,0
2585,0
2651,0
439,4
815,2
2327,1
2543,5
2733,1
109,0
1428,0
2785,0
801,1
868,0
3225,0
2287,1
2920,0
1662,0
2372,0
2441,0
2732,0
164,0
2200,0
2376,0
2290,0
1410,1
750,1
880,1
1861,2
1484,0
1994,2
2666,0
3196,0
1726,0
2754,0
3093,0
759,0
1623,1
3100,0
987,0
1530,1
1841,0
971,0
488,0
2492,0
3376,0
3346,0
2198,0
183,0
788,3
2509,2
1405,0
2683,0
26,0
2309,0
2067,0
1782,0
1752,0
631,3
1499,0
1068,2
1261,0
1833,0
1115,0
33,0
2600,2
3203,0
1477,1
44,0
2040,0
2470,2
2549,0
3043,0
2512,0
3186,0
2222,0
659,0
1217,1
28,0
475,0
718,2
3299,0
535,0
1344,2
1396,0
3063,0
2760,0
1480,0
1399,0
253,0
2164,0
594,0
563,0
3423,0
1317,0
1223,2
2076,1
778,0
793,1
3097,0
1884,0
2211,0
62,0
684,0
1266,0
2566,0
636,1
1398,0
1485,0
2262,5
2598,1
3246,0
970,0
2970,2
1374,0
2798,0
3344,2
2866,0
2883,0
2777,0
764,0
3084,1
803,3
2112,2
2650,2
555,0
92,0
1403,0
2915,0
980,1
3215,1
833,0
353,0
2236,2
2183,1
1011,1
884,2
975,0
197,0
180,1
1650,2
485,1
1406,2
1190,0
1382,0
351,0
1927,8
3419,0
2189,1
2016,1
333,0
895,1
1286,0
2699,0
2282,0
2708,0
1594,0
836,0
861,1
58,0
2093,2
3021,1
2498,0
1834,0
3267,0
1058,0
2496,0
1492,0
826,2
3096,0
306,0
3078,0
462,2
2261,2
780,1
1019,0
1060,0
3253,0
2691,1
350,2
1481,0
1857,0
1164,0
368,0
163,0
2964,0
1186,2
911,0
1034,0
2882,0
714,0
1074,1
3041,0
2942,0
3098,0
2046,0
3278,0
1288,0
2169,0
24,0
3271,0
2349,0
2404,1
3396,0
938,0
3144,1
1006,0
