,nom_jugad,num_pos,equipo,liga,edad,apariciones_totales,min_jugados,tirosXp,pasesXp,regatesXp,faltadoXp,fuerajuegoXp,robadoXp,malcontroXp,goles_esperados,xGDiff,xG/90,total_disparos,xG/Shots,rating
667,Darío Benedetto,10,Elche,Esp,34,14,585,1.3,0.3,0.7,0.4,0.2,0.3,1.1,2.5,-0.5,0.39,18,0.14,6.45
1490,Jonathan Clauss,5,Nice,Fra,32,10,796,0.9,1.4,0.4,0.1,0.0,0.2,1.3,0.64,0.36,0.07,9,0.07,7.29
1305,Jacob Greaves,2,Ipswich,Ing,24,7,630,0.7,0.0,0.1,0.9,0.0,0.1,0.7,0.77,-0.77,0.11,5,0.15,6.59
2995,Sergi Darder,5,Espanyol,Esp,30,36,3136,1.2,1.0,1.5,1.1,0.0,0.9,1.1,3.07,-0.07,0.09,44,0.07,6.85
1384,Jayden Addai,10,AZ Alkmaar,Ned,19,8,143,0.8,0.5,1.4,0.8,0.1,0.6,1.0,0.59,-0.59,0.37,6,0.1,6.37
2982,Sebastian Nanasi,5,Strasbourg,Fra,22,10,744,0.8,1.2,0.8,0.8,0.0,0.4,0.6,2.37,0.63,0.29,8,0.3,6.85
1291,Iván Romero,10,Sevilla,Esp,23,5,178,0.4,0.0,0.6,1.2,0.2,1.2,1.2,0.41,-0.41,0.21,2,0.21,6.24
1533,Jorge Miramón,5,Levante,Esp,35,29,1976,0.2,0.6,0.7,0.8,0.0,0.7,1.1,0.66,0.34,0.03,7,0.09,6.49
380,Beni,2,Casa Pia AC,Por,22,6,386,0.2,0.5,1.2,1.8,0.0,0.7,1.5,0.04,-0.04,0.01,1,0.04,6.59
663,Darko Brasanac,5,Osasuna,Esp,32,35,2412,0.5,0.8,0.4,0.7,0.3,0.7,1.2,1.52,-0.52,0.06,17,0.09,6.39
2943,Samuel Umtiti,2,Barcelona,Esp,30,1,90,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.53
1846,Lewis Hall,5,Newcastle,Ing,20,11,787,0.0,1.2,0.3,0.5,0.0,0.8,0.8,0.0,0.0,0.0,0,0.0,6.96
2456,Nicolò Casale,2,Lazio,Ita,26,2,136,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.03,-0.03,0.02,1,0.03,6.85
61,Ahmetcan Kaplan,2,Ajax,Ned,21,2,151,0.0,0.5,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,6.71
3284,Vinícius Júnior,10,Real Madrid,Esp,24,35,2701,2.3,1.9,2.7,2.1,0.7,1.7,2.5,14.22,2.78,0.47,80,0.18,7.56
3353,Yan Eteki,2,Granada,Esp,27,12,337,0.1,0.1,0.1,0.4,0.0,0.6,0.5,0.04,-0.04,0.01,1,0.04,6.1
2552,Omari Hutchinson,5,Ipswich,Ing,21,10,878,1.4,1.0,2.3,1.6,0.2,2.6,2.5,0.81,-0.81,0.08,14,0.06,6.51
2934,Samuel Edozie,5,Southampton,Ing,21,2,64,0.0,0.5,1.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,6.27
2134,Marwann N'Zuzi,2,Saint-Etienne,Fra,20,2,127,1.0,0.5,0.0,0.5,0.0,1.0,1.5,0.04,-0.04,0.03,2,0.02,6.42
2786,Ricky van Wolfswinkel,10,Twente,Ned,35,9,350,0.8,0.6,0.0,0.4,0.3,0.6,0.7,1.19,0.81,0.31,7,0.17,6.57
1516,Jordan Teze,2,Monaco,Fra,25,7,227,0.6,0.3,0.1,0.1,0.0,0.3,0.3,1.42,-0.42,0.56,4,0.36,6.39
2473,Nikola Milenkovic,2,Nottingham Forest,Ing,27,10,900,0.8,0.4,0.1,0.1,0.1,0.1,0.0,1.72,-1.72,0.17,8,0.22,6.83
1878,Luca Caldirola,2,Monza,Ita,33,4,281,0.3,0.0,0.0,0.8,0.3,0.0,0.3,0.07,-0.07,0.02,1,0.07,6.4
1262,Ismaël Gharbi,5,Braga,Por,20,6,158,1.2,0.8,0.7,0.7,0.2,0.7,0.7,1.23,0.77,0.7,7,0.18,6.65
603,Damian van der Haar,2,PEC Zwolle,Ned,20,10,706,0.3,0.4,0.2,0.2,0.1,0.6,0.9,0.14,0.86,0.02,3,0.05,6.46
765,Domen Crnigoj,5,Venezia,Ita,28,4,80,0.0,0.0,0.0,0.8,0.0,0.3,0.8,0.0,0.0,0.0,0,0.0,6.15
1199,Hugo Magnetti,2,Brest,Fra,26,10,718,0.5,0.4,0.5,0.7,0.0,0.5,0.9,0.38,-0.38,0.05,5,0.08,6.41
